city,state,complaint_type
Geelong,VIC,Service
Bunbury,WA,Billing
Cairns,QLD,Outage
Wagga Wagga,NSW,Technical
Perth,WA,Technical
Albany,WA,Technical
Wollongong,NSW,Outage
Geelong,VIC,Technical
Townsville,QLD,Technical
Adelaide,SA,Outage
Perth,WA,Technical
Wollongong,NSW,Outage
Geelong,VIC,Outage
Fremantle,WA,Service
Geelong,VIC,Billing
Adelaide,SA,Technical
Devonport,TAS,Outage
Hobart,TAS,Billing
Newcastle,NSW,Billing
Sydney,NSW,Billing
Devonport,TAS,Service
Brisbane,QLD,Outage
Wollongong,NSW,Billing
Townsville,QLD,Technical
Melbourne,VIC,Technical
Melbourne,VIC,Service
Melbourne,VIC,Technical
Brisbane,QLD,Technical
Albany,WA,Billing
Gold Coast,QLD,Service
Bunbury,WA,Outage
Whyalla,SA,Outage
Albany,WA,Billing
Geelong,VIC,Service
Hobart,TAS,Billing
Wagga Wagga,NSW,Technical
Cairns,QLD,Billing
Bendigo,VIC,Service
Launceston,TAS,Outage
Alice Springs,NT,Billing
Townsville,QLD,Billing
Canberra,ACT,Billing
Brisbane,QLD,Billing
Sydney,NSW,Technical
Canberra,ACT,Outage
Mount Gambier,SA,Billing
Cairns,QLD,Outage
Gold Coast,QLD,Billing
Geelong,VIC,Billing
Hobart,TAS,Billing
Townsville,QLD,Outage
Brisbane,QLD,Service
Brisbane,QLD,Service
Townsville,QLD,Technical
Fremantle,WA,Service
Devonport,TAS,Billing
Mount Gambier,SA,Technical
Mount Gambier,SA,Service
Darwin,NT,Technical
Geelong,VIC,Billing
Townsville,QLD,Technical
Sydney,NSW,Outage
Hobart,TAS,Technical
Devonport,TAS,Technical
Cairns,QLD,Service
Fremantle,WA,Technical
Sydney,NSW,Technical
Newcastle,NSW,Outage
Whyalla,SA,Technical
Whyalla,SA,Outage
Ballarat,VIC,Billing
Townsville,QLD,Billing
Newcastle,NSW,Technical
Townsville,QLD,Outage
Brisbane,QLD,Service
Canberra,ACT,Billing
Sydney,NSW,Outage
Adelaide,SA,Technical
Gold Coast,QLD,Technical
Darwin,NT,Outage
Albany,WA,Technical
Sydney,NSW,Technical
Alice Springs,NT,Outage
Gold Coast,QLD,Outage
Mount Gambier,SA,Technical
Darwin,NT,Technical
Hobart,TAS,Billing
Wollongong,NSW,Outage
Bendigo,VIC,Service
Bendigo,VIC,Service
Brisbane,QLD,Billing
Launceston,TAS,Outage
Bendigo,VIC,Outage
Hobart,TAS,Service
Wagga Wagga,NSW,Technical
Alice Springs,NT,Technical
Adelaide,SA,Technical
Devonport,TAS,Service
Hobart,TAS,Outage
Melbourne,VIC,Technical
Mount Gambier,SA,Technical
Darwin,NT,Outage
Townsville,QLD,Billing
Albany,WA,Technical
Fremantle,WA,Technical
Darwin,NT,Billing
Albany,WA,Service
Brisbane,QLD,Technical
Mount Gambier,SA,Service
Perth,WA,Billing
Townsville,QLD,Billing
Alice Springs,NT,Technical
Ballarat,VIC,Technical
Townsville,QLD,Service
Melbourne,VIC,Billing
Wagga Wagga,NSW,Billing
Port Lincoln,SA,Outage
Devonport,TAS,Service
Wagga Wagga,NSW,Billing
Mount Gambier,SA,Service
Gold Coast,QLD,Outage
Devonport,TAS,Billing
Darwin,NT,Service
Bunbury,WA,Outage
Albany,WA,Technical
Cairns,QLD,Outage
Canberra,ACT,Service
Sydney,NSW,Service
Devonport,TAS,Technical
Brisbane,QLD,Billing
Devonport,TAS,Service
Albany,WA,Billing
Devonport,TAS,Billing
Mount Gambier,SA,Service
Devonport,TAS,Billing
Launceston,TAS,Technical
Wollongong,NSW,Service
Melbourne,VIC,Technical
Darwin,NT,Outage
Hobart,TAS,Technical
Townsville,QLD,Outage
Mount Gambier,SA,Outage
Devonport,TAS,Technical
Geelong,VIC,Billing
Brisbane,QLD,Technical
Devonport,TAS,Service
Melbourne,VIC,Billing
Devonport,TAS,Billing
Newcastle,NSW,Outage
Mount Gambier,SA,Technical
Alice Springs,NT,Technical
Cairns,QLD,Technical
Townsville,QLD,Billing
Adelaide,SA,Technical
Canberra,ACT,Billing
Cairns,QLD,Service
Port Lincoln,SA,Service
Adelaide,SA,Service
Ballarat,VIC,Billing
Fremantle,WA,Billing
Newcastle,NSW,Technical
Hobart,TAS,Outage
Brisbane,QLD,Outage
Port Lincoln,SA,Outage
Gold Coast,QLD,Service
Devonport,TAS,Technical
Gold Coast,QLD,Billing
Melbourne,VIC,Billing
Wagga Wagga,NSW,Technical
Albany,WA,Outage
Melbourne,VIC,Outage
Darwin,NT,Outage
Newcastle,NSW,Outage
